Gender,Age,Senior Citizen,Married,Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Churn Label,CLTV,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check
1,78,1,0,0,0,0,1,0,0.0,0,1,8,0,0,1,0,0,1,0,0,1,39.65,39.65,0.0,20,0.0,3,1,5433,0,0,0,0
0,74,1,1,1,1,1,8,1,48.85,1,1,17,0,1,0,0,0,0,0,1,1,80.65,633.3,0.0,0,390.8,3,1,5302,0,0,1,0
1,71,1,0,1,0,0,18,1,11.33,1,1,52,0,0,0,0,1,1,1,1,1,95.45,1752.55,45.61,0,203.94,2,1,3179,0,0,0,0
0,78,1,1,1,1,1,25,1,19.76,0,1,12,0,1,1,0,1,1,0,1,1,98.5,2514.5,13.43,0,494.00000000000006,2,1,5337,0,0,0,0
0,80,1,1,1,1,1,37,1,6.33,1,1,14,0,0,0,0,0,0,0,1,1,76.5,2868.15,0.0,0,234.21,2,1,2793,0,0,0,0
0,72,1,0,1,0,0,27,1,3.33,1,1,18,0,0,1,0,0,0,0,0,1,78.05,2135.5,0.0,10,89.91,1,1,4638,0,0,0,0
0,76,1,1,1,1,1,1,1,15.28,0,1,30,0,0,0,0,0,0,0,1,1,70.45,70.45,0.0,0,15.28,2,1,3964,0,0,0,1
1,66,1,1,0,1,6,58,0,0.0,0,1,24,0,1,1,0,0,1,0,1,1,45.3,2651.2,40.95,0,0.0,1,1,5444,0,0,0,0
0,70,1,0,1,0,0,15,1,44.07,1,1,19,0,0,0,0,0,0,0,1,1,74.45,1145.7,0.0,0,661.05,2,1,5717,0,0,0,1
0,77,1,0,1,0,0,7,1,26.95,0,1,18,1,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,2,1,4419,0,0,0,0
0,78,1,0,1,0,0,11,1,11.59,0,1,29,0,1,0,0,1,1,0,0,1,95.0,1120.3,0.0,120,127.49,1,1,5980,0,0,0,0
1,65,1,0,0,0,0,15,1,29.11,0,1,29,0,1,0,0,0,0,0,1,1,74.4,1074.3,0.0,0,436.65,1,1,4616,0,0,0,0
1,77,1,1,0,1,1,1,0,0.0,0,1,12,0,1,0,0,1,0,0,1,0,40.2,40.2,0.0,0,0.0,2,1,5828,0,0,0,0
1,67,1,0,0,0,0,3,0,0.0,0,1,28,0,0,1,0,0,1,1,1,1,41.15,132.2,0.0,0,0.0,2,1,2314,0,0,0,0
1,68,1,0,0,0,0,13,1,32.68,1,1,11,0,1,1,0,1,1,0,0,1,106.9,1364.3,0.0,10,424.84,1,1,2494,0,0,0,0
0,68,1,0,0,0,0,16,1,9.43,0,1,9,0,0,0,1,1,1,1,1,1,94.45,1511.2,0.0,0,150.88,1,1,3810,0,0,0,0
1,66,1,0,0,0,0,8,1,1.78,0,1,7,0,1,0,0,0,0,0,1,1,74.5,606.55,0.0,0,14.24,2,1,4345,0,0,0,0
1,69,1,0,0,0,0,24,1,30.87,1,1,15,0,0,0,0,0,0,0,1,1,76.1,1712.7,0.0,0,740.88,2,1,2018,0,0,0,0
0,74,1,0,0,0,0,4,1,31.61,1,1,2,0,0,0,0,1,1,0,1,1,95.45,396.1,0.0,0,126.44,3,1,3677,0,0,0,0
1,76,1,1,0,1,2,32,1,47.34,1,1,10,0,0,0,0,0,0,0,1,1,74.9,2303.35,0.0,0,1514.88,2,1,4105,0,0,0,0
1,77,1,1,0,1,1,24,1,16.1,0,1,12,0,0,1,0,1,1,1,1,1,93.15,2231.05,0.0,0,386.4,2,1,2212,0,0,0,0
0,70,1,0,0,0,0,54,1,12.08,1,1,5,1,1,0,1,1,1,1,1,0,82.45,4350.1,0.0,0,652.32,1,1,4149,1,0,0,0
0,74,1,0,0,0,0,2,1,13.17,0,1,10,0,0,0,0,0,0,0,1,1,70.35,139.05,0.0,0,26.34,3,1,2671,0,0,0,0
0,77,1,0,0,0,0,21,0,0.0,0,1,8,1,0,0,0,1,0,0,1,1,41.9,840.1,0.0,0,0.0,1,1,4778,0,0,0,0
1,71,1,1,0,0,0,27,0,0.0,0,1,13,1,0,0,0,0,0,0,0,0,30.75,805.1,0.0,140,0.0,1,1,2927,0,0,1,0
1,79,1,1,0,1,1,11,1,29.54,0,0,0,0,0,0,0,0,0,0,0,0,19.95,214.75,0.0,0,324.94,1,1,5888,0,0,0,1
0,66,1,1,0,1,2,55,1,42.82,1,1,27,0,1,1,0,0,0,0,0,1,85.45,4874.7,0.0,90,2355.1,1,1,5502,0,0,0,0
1,77,1,0,0,0,0,3,1,9.22,1,1,14,0,1,0,0,0,0,0,1,1,81.35,233.7,0.0,0,27.660000000000004,1,1,2818,0,0,0,0
0,80,1,0,0,0,0,1,1,35.09,0,1,17,0,0,1,0,0,0,0,0,1,75.3,75.3,0.0,20,35.09,2,1,4902,0,0,0,0
0,77,1,0,0,0,0,5,0,0.0,0,1,26,0,1,0,0,0,0,0,1,0,28.45,131.05,0.0,0,0.0,2,1,4099,0,0,0,0
0,77,1,0,0,0,0,20,1,48.73,1,1,12,0,1,1,0,0,1,0,0,1,94.1,1782.4,0.0,80,974.6,1,1,2666,0,0,0,0
0,72,1,1,0,1,4,5,1,45.76,1,1,22,0,0,0,0,0,0,0,1,1,74.35,334.8,0.0,0,228.8,1,1,5273,0,0,0,0
0,80,1,1,0,1,2,27,1,7.02,0,1,25,1,0,0,0,0,0,0,1,1,75.2,1929.35,0.0,0,189.54,1,1,4517,0,0,0,0
0,74,1,0,0,0,0,4,1,48.35,1,1,24,0,0,1,0,1,0,0,1,1,89.2,346.2,0.0,0,193.4,1,1,5808,0,0,0,0
0,68,1,0,0,0,0,1,1,45.81,1,1,21,0,0,0,0,1,0,0,1,1,85.7,85.7,0.0,0,45.81,1,1,4880,0,0,0,0
0,78,1,1,0,1,3,65,1,18.39,1,1,28,1,0,1,0,1,1,0,1,0,105.25,6786.4,0.0,0,1195.35,1,1,4196,0,0,0,0
1,75,1,1,0,1,3,49,1,22.92,1,1,14,0,1,0,0,0,1,0,1,0,90.05,4547.25,0.0,0,1123.0800000000002,2,1,5059,0,0,1,0
1,77,1,1,0,1,1,43,1,14.52,1,1,5,0,1,1,1,1,1,0,1,1,110.75,4687.9,0.0,0,624.36,2,1,2728,0,0,0,0
1,80,1,1,0,0,0,56,1,48.8,1,1,12,1,0,1,0,1,1,0,1,1,104.55,5794.65,0.0,0,2732.8,1,1,6268,1,0,0,0
1,75,1,1,0,1,7,20,1,5.31,1,1,10,0,0,0,0,1,1,1,1,1,94.55,1899.65,0.0,0,106.2,1,1,5604,0,0,0,0
0,69,1,0,0,0,0,2,1,47.47,1,1,19,0,1,0,0,0,1,1,1,0,89.5,161.5,0.0,0,94.94,2,1,2065,0,0,0,0
0,74,1,0,0,0,0,8,1,27.95,0,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0,223.6,2,1,5432,0,0,0,0
1,76,1,0,0,0,0,52,0,0.0,0,1,18,0,1,0,0,1,1,1,0,1,49.15,2550.9,0.0,30,0.0,2,1,5597,0,0,0,0
1,69,1,0,0,0,0,2,1,43.99,0,1,27,1,0,0,0,0,0,0,1,1,49.25,91.1,0.0,0,87.98,2,1,3475,0,0,0,0
1,72,1,1,0,1,1,33,1,27.78,1,1,8,0,0,0,0,1,1,0,1,1,94.5,3105.55,0.0,0,916.74,3,1,4333,0,0,0,0
0,69,1,0,0,0,0,30,1,45.88,1,1,19,1,1,1,0,0,0,0,1,0,91.7,2758.15,0.0,0,1376.4,1,1,2482,0,0,1,0
1,73,1,0,0,0,0,20,1,44.44,1,1,13,0,0,1,0,1,1,0,0,1,98.55,1842.8,0.0,120,888.8,3,1,5444,0,0,0,0
0,65,1,0,0,0,0,46,1,2.37,1,1,20,1,1,1,0,1,1,1,1,1,110.0,4874.8,0.0,0,109.02,1,1,2403,1,0,0,0
1,74,1,1,0,1,1,7,1,21.91,1,1,11,0,0,0,0,1,1,0,1,1,95.6,644.35,0.0,0,153.37,3,1,3265,0,0,0,0
0,65,1,0,0,0,0,4,1,36.93,0,1,18,0,0,0,0,1,0,0,1,1,78.85,292.8,0.0,0,147.72,3,1,5301,0,0,0,0
0,66,1,0,0,0,0,55,1,37.38,1,1,7,0,0,1,0,1,1,1,0,1,100.0,5509.3,0.0,100,2055.9,3,1,5679,1,0,0,0
1,71,1,1,0,1,1,20,1,5.37,0,1,24,0,1,0,0,0,0,0,1,1,73.65,1463.5,0.0,0,107.4,1,1,5849,0,0,0,0
1,65,1,0,0,0,0,9,1,48.71,1,1,15,0,0,1,0,1,1,1,1,1,100.5,918.6,0.0,0,438.39,1,1,4038,0,0,0,0
1,69,1,0,0,0,0,10,1,5.46,0,1,24,0,1,0,0,0,0,0,0,1,72.85,688.65,0.0,30,54.6,1,1,3189,0,0,0,0
1,75,1,1,0,0,0,1,1,36.92,1,1,6,0,0,0,0,0,0,0,1,1,73.55,73.55,0.0,0,36.92,2,1,4369,0,0,0,0
0,75,1,0,0,0,0,3,1,41.9,1,1,11,0,1,0,0,0,0,0,1,1,79.4,205.05,0.0,0,125.7,1,1,3501,0,0,0,0
0,68,1,0,0,0,0,4,1,6.68,1,1,17,0,0,0,0,0,1,0,1,1,84.6,360.1,0.0,0,26.72,1,1,2467,0,0,0,0
